Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Pouchetia,Rubiaceae,Pouchetia,Pouchetia,,,,,,,,,,,,,,,,,,,,,
Primula,Primulaceae,Primula,Primula,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; doi: 10.1111/j.1469-8137.2006.01704.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Angela Moles; Ingolf Kuhn; Michael Kleyer; J.-S. He; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; dkunzmann@gmx.de; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; jshe@pku.edu.cn; engemann@bios.au.dk,0.112444444,0.56012069,3749.28125,53.26,4.555555556,,0.129367207,,24.25,,,Herb,,,3.45E-05,,,
Primulaceae undif.,Primulaceae,Primulaceae,Primulaceae,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2006.01704.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Chac√≥n E; Angela Moles; Ingolf Kuhn; Price CA; J.-S. He; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; edchacon@gmail.com; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; charles.price@uwa.edu.au; jshe@pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,3.628161923,170.665384,4378.389736,84.458,5.3875,,0.144858208,25.5,16.8635916,biotic,evergreen,Shrub,Hermaphrodite,biotic,3.31E-05,,,
Prosopis t.,Fabaceae-Mimosoideae,Prosopis,Prosopis,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; K.S. Murali; Bezeng BS; Zanne AE; Engemann, K",charles.price@uwa.edu.au; sid@kew.org ; a.moles@unsw.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,4.569595109,47.03625738,80,100,7,,,7,37.7625,biotic,deciduous,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Proteaceae,Proteaceae,Protea,Proteaceae,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.m41f1; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Tim Killeen; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Angela Moles; Bezeng BS; Grootemaat S; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K",sid@kew.org ; charles.price@uwa.edu.au; a.moles@unsw.edu.au; bezengsimmy@gmail.com; saskia.grootemaat@mq.edu.au; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk,9.6625,177.918582,1305.834497,60.86956522,6.323529412,,0.223666667,32.5,6.939893726,abiotic,evergreen,Shrub,Hermaphrodite,biotic,0.000171283,,,
Protist,Protist,Protist,Protist,,,,,,,,,,,,,,,,,,,,,
Prunus t.,Rosaceae,Amelanchier,Prunus,http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Marx HE; Angela Moles; Steven Travers; Dana Royer; Price CA; Bezeng BS; Zanne AE; Engemann, K",h.marx.h@gmail.com; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; charles.price@uwa.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,14.2513024,550.6764766,2612.189263,250,,4.828220859,0.14502446,9.166666667,20.38091964,biotic,deciduous,Shrub,Hermaphrodite,biotic,5.55E-05,BIOME-BGC Parameterization Database,broad-leaved,"White, M. A., P. E. Thornton, S. W. Running, and R. R. Nemani. 2000. Parameterization and sensitivity analysis of the BIOME-BGC terrestrial ecosystem model: Net primary production controls. Earth Interactions 4:1-85."
Pseudoschizaea,EROSION INDICATOR,Concentricystes,Pseudoschizaea,,,,,,,,,,,,,,,,,,,,,
Psidium,Myrtaceae,Psidium,Psidium,http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Tim Killeen; Letcher SG; Bezeng BS; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K",susan.letcher@purchase.edu; bezengsimmy@gmail.com; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk,4.957565812,875.5617381,,,10,,,,18.9625,biotic,evergreen,Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Psilotrichum t.,Amaranthaceae-Amaranthoideae,Psilotrichum,Psilotrichum,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,,,
Psoralea,Fabaceae-Faboideae,Bituminaria,Psoralea,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; steven.travers@ndsu.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,7.58925,,,,6.25,,,,abiotic,deciduous,Herb,Hermaphrodite,biotic,,Plant Traits from Fynbos Forests in the Cape Region,needle-leaved,"Onstein RE, Richard J. Carter, Yaowu Xing, H. Peter LinderInstitute (2014) Diversification rate shifts in the Cape Floristic Region: The right traits in the right place at the right time. Perspectives in Plant Ecology, Evolution and Systematics 16(6) 331ñ340 DOI:10.1016/j.ppees.2014.08.002"
Psychotria,Rubiaceae,Psychotria,Psychotria,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Susan Letcher; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Bezeng BS; Price CA; Zanne AE; Engemann, K",SUSAN.LETCHER@purchase.edu; sid@kew.org ; droyer@wesleyan.edu; bezengsimmy@gmail.com; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,2.077707826,127.9164001,8007.74,,8,,0.063333333,28,21.21047641,abiotic,evergreen,Shrub,Hermaphrodite,biotic,7.91E-06,GLOPNET - Global Plant Trait Network Database,broad-leaved,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827."
Psydrax,Rubiaceae,Psydrax,Psydrax,http://datadryad.org/resource/doi:10.5061/dryad.7s7r1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Osuri AM; Bezeng BS; Maire V; Zanne AE; Engemann, K",moanand@gmail.com; bezengsimmy@gmail.com; vmaire@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,8.033333333,,,,10.5,,,,12.6,biotic,evergreen,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Pterocarya,Juglandaceae,Pterocarya,Pterocarya,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Zanne AE; Engemann, K",sid@kew.org ; aezanne@gmail.com; engemann@bios.au.dk,,75.73241263,,,,,,,,,deciduous,Tree,,,,,,
Pterolobium,Fabaceae-Caesalpinoideae,Pterolobium,Pterolobium,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,Bezeng BS,bezengsimmy@gmail.com,,,,,2,,,,,abiotic,,,Hermaphrodite,biotic,,,,
Pteropyrum,Polygonaceae,Pteropyrum,Pteropyrum,,,,,,,,,,,,,,,,,,,,,
Punica granatum,Lythraceae,Punica,Punica granatum,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,,21.015,,,8,,,,,abiotic,deciduous,Tree_Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Pycnanthus,Myristicaceae,Pycnanthus,Pycnanthus,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Zanne AE; Engemann, K",fritz.kln@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,20.43605263,,,,,,,,,,evergreen,Tree,,,,,,
Quercus deciduous,Fagaceae,Quercus,Quercus deciduous,,,,,,,,,,,,,,,,,,,,,
Quercus evergreen,Fagaceae,Quercus,Quercus evergreen,,,,,,,,,,,,,,,,,,,,,
Quercus subgen. Cerris,Fagaceae,Quercus,Quercus subgen. Cerris,,,,,,,,,,,,,,,,,,,,,
Quercus undif.,Fagaceae,Quercus,Quercus,http://datadryad.org/resource/doi:10.5061/dryad.12b0h; http://datadryad.org/resource/doi:10.5061/dryad.1284; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Ameztegui A; Aranda I; Angela Moles; Steven Travers; Michael Kleyer; Bezeng BS; Zanne AE; Engemann, K",ameztegui@gmail.com; aranda@inia.es; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,15.57874391,2609.753326,771.4221411,251.4230769,,5.083333333,0.352900208,9.643333333,17.41317658,biotic,evergreen,Tree,Hermaphrodite,biotic,0.000457467,BIOME-BGC Parameterization Database,broad-leaved,"White, M. A., P. E. Thornton, S. W. Running, and R. R. Nemani. 2000. Parameterization and sensitivity analysis of the BIOME-BGC terrestrial ecosystem model: Net primary production controls. Earth Interactions 4:1-85."
Randia,Rubiaceae,Randia,Randia,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.4b95c.2; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Szefer P; Zanne AE; Engemann, K",sid@kew.org ; droyer@wesleyan.edu; szefer85@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,3.755417476,91.46551741,8510,,,,,,23.86911203,,evergreen,Tree_Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Ranunculaceae undif.,Ranunculaceae,Aconitum,Ranunculaceae,http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.fr2k8; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2006.01704.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Herrera CM; Rusch; Angela Moles; Steven Travers; Price CA; J.-S. He; Bezeng BS; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; herrera@ebd.csic.es; graciela.rusch@nina.no; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; jshe@pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.530417824,5.310354853,2312.778699,20,5.255520505,,0.190712962,2.5,26.05473342,abiotic,evergreen,Herb,,biotic,8.25E-05,,,
Rapanea,Primulaceae-Myrsinoideae,Rapanea,Rapanea,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"S.E. Russo; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Bezeng BS; Zanne AE; Engemann, K",srusso2@unl.edu; sid@kew.org ; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,5.5,14.69975,,,5,,,,,biotic,evergreen,Tree,Hermaphrodite,biotic,,,,
Raphia,Arecaceae,Raphia,Raphia,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Engemann, K",bezengsimmy@gmail.com; engemann@bios.au.dk,,,,,,,,,,abiotic,,Tree,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Resedaceae undiff.,Resedaceae,Reseda,Resedaceae,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.6p9v5; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Ingolf Kuhn; Bhaskar R; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; ken.thompson@sheffield.ac.uk; ingolf.kuehn@ufz.de; radika@gmail.com; engemann@bios.au.dk,1.133354839,0.959565217,1227.083333,,6,,0.059875569,,23.66666667,,,Herb,,,4.88E-05,,,
Rhamnaceae undif.,Rhamnaceae,Rhamnaceae,Rhamnaceae,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Dana Royer; Price CA; Maire V; Bezeng BS; Zanne AE; Engemann, K",fritz.kln@gmail.com; sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; charles.price@uwa.edu.au; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,3.89033812,47.21120205,3869.198415,29.79310345,6.511627907,,0.057497595,12.13333333,20.20602351,abiotic,deciduous,Shrub,Hermaphrodite,biotic,1.49E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Rhamnus,Rhamnaceae,Rhamnus,Rhamnus,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Steven Travers; Y.F. Bai; Price CA; Maire V; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; steven.travers@ndsu.edu; yfbai@ibcas.ac.cn; charles.price@uwa.edu.au; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,4.167073333,16.70222376,1200.985911,,5.321428571,,0.047385567,10.2,20.65494748,biotic,deciduous,Tree,Hermaphrodite,biotic,3.95E-05,The China Plant Trait Database,broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819"
Rheum,Polygonaceae,Rheum,Rheum,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; doi: 10.1111/j.1469-8137.2006.01704.x; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; J.-S. He; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; steven.travers@ndsu.edu; jshe@pku.edu.cn; engemann@bios.au.dk,1.4,17,,,,5.3,,,34.99559493,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Rhizophora,Rhizophoraceae,Rhizophora,Rhizophora,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; J. Fang; Zanne AE; Engemann, K",sid@kew.org ; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,6.799118182,23271.66002,,,,,,,13.7,,evergreen,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Rhododendron,Ericaceae,Rhododendron,Rhododendron,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Ingolf Kuhn; Price CA; J. Fang; Zanne AE; Engemann, K",sid@kew.org ; droyer@wesleyan.edu; ingolf.kuehn@ufz.de; charles.price@uwa.edu.au; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,3.295391304,0.160716966,2337.942857,,5.333333333,,0.223333333,33,13.24425315,,evergreen,Shrub,,,9.55E-05,The China Plant Trait Database,broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819"
Rhus coriaria,Anacardiaceae,Rhus,Rhus coriaria,http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Ingolf Kuhn; Zanne AE",sid@kew.org ; ingolf.kuehn@ufz.de; aezanne@gmail.com,,12.46,,,6,,,,,,deciduous,,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Ribes,Grossulariaceae,Grossulariaceae,Ribes,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Steven Travers; Michael Kleyer; Zanne AE; Engemann, K",sid@kew.org ; charles.price@uwa.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; aezanne@gmail.com; engemann@bios.au.dk,1.418960901,2.46297482,2142.977997,,,4.831460674,0.120250161,3.3,26.09421552,,deciduous,Shrub,,,5.61E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Riccia,Bryophyta-Marchantiophyta,Riccia,Riccia,,,,,,,,,,,,,,,,,,,,,
Ricinus,Euphorbiaceae,Ricinus,Ricinus,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; steven.travers@ndsu.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,3.6576,378.7571429,,,5,,,,,biotic,evergreen,Herb_Tree_Shrub,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Robinia,Fabaceae-Faboideae,Robinia,Robinia,http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Price CA; Angela Moles; Steven Travers; Dana Royer; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; charles.price@uwa.edu.au; a.moles@unsw.edu.au; steven.travers@ndsu.edu; droyer@wesleyan.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,15.74527039,42.42577126,2865.5925,100,,6.111111111,0.043333333,4.6,36.48909091,biotic,deciduous,Tree,Hermaphrodite,biotic,1.51E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Roemeria,Papaveraceae,Roemeria,Roemeria,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,0.2385,,,,,,,,,,Shrub,,,,,,
Rosa t.,Rosaceae,Rosa,Rosa,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Steven Travers; Michael Kleyer; J. Fang; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; jyfang@urban.pku.edu.cn; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,1.455973154,14.23951175,1043.53161,,,5.925373134,0.172801602,,18.67075556,biotic,deciduous,Shrub,Hermaphrodite,biotic,0.000165593,The China Plant Trait Database,broad-leaved,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819"
Rosaceae undif.,Rosaceae,Rosaceae,Rosaceae,http://www.americanforests.org/resources/bigtrees/register.php; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Marx HE; Dana Royer; Angela Moles; Steven Travers; Price CA; Bezeng BS; Zanne AE; Engemann, K",h.marx.h@gmail.com; droyer@wesleyan.edu; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,12.98017001,135.4240131,2085.848923,301.8514286,,5.574712644,0.162251247,9.314285714,20.38088516,biotic,deciduous,Herb,Hermaphrodite,biotic,7.78E-05,,,
