References pollen records,References pollen taxonomy,Reference phytogeographical affinity,References habit,References plant functional types
"Leroy, S. A. G., & Dupont, L. M. (1997). Marine palynology of the ODP site 658 (N-W Africa) and its contribution to the stratigraphy of Late Pliocene. Geobios, 30(3), 351–359. https://doi.org/10.1016/S0016-6995(97)80194-5",,,"Zhao, J., Zhang, Z., Zhou, H., Bai, Z., & Sun, K. (2023). The study on sea buckthorn (genus Hippophae L.) fruit reveals cell division and cell expansion to promote morphogenesis. Plants, 12(5), 1005.",
"Leroy, S., Ghislaine, A. Unpublished.",,,"Zhou, P., Li, J., Chen, Q., Wang, L., Yang, J., Wu, A., ... & Wu, J. (2021). A comprehensive review of genus Sanguisorba: Traditional uses, chemical constituents and medical applications. Frontiers in Pharmacology, 12, 750165.",
"Leroy, S.A.G. 1992. Palynological evidence of Azolla nilotica Dec. in recent Holocene of the eastern Nile Delta and palaeoenvironment. Vegetation History and Archaeobotany 1:43-52.",,,,
"Leroy, S.A.G. 2010. Pollen analysis of core DS7-1SC (Dead Sea) showing intertwined effects of climatic change and human activities in the Late Holocene. Journal of Archaeological Science 37:306-316.",,,,
"Leroy, S.A.G., M.C. Freitas, C. Endrade, A. Cearreta, M. Maanan, and P.J.M. Costa. 2025. A 6600 year history of vegetation changes and sediment infill of the Moulay Bousselham Lagoon, Atlantic Morocco. Journal of African Earth Sciences 223:105492. 10.1016/j.jafrearsci.2024.105492.",,,,
"Leroy, S.A.G., M.J. Schwab, and P.J.M. Costa. 2010. Seismic influence on the last 1500-year infill history of Lake Sapanca (Noerth Anatolian Fault, NW Turkey). Tectonophysics 486:12-27.",,,,
"Leroy, S.A.G., N. Kazanci, Ö. Ileri, M. Kibar, Ö. Emre, E.J. McGee, and H.I. Griffiths. 2002. Abrupt environmental changes within a late Holocene lacustrine sequence south of the Marmara Sea (Lake Manyas, N-W Turkey): possible links with seismic events. Marine Geology 190:531-552.",,,,
"Leroy, S.A.G., S. Boyraz, and A. Gürbüz. 2009. High-resolution palynological analysis in Lake Sapanca as a tool to detect recent earthquakes on the North Anatolian Fault. Quaternary Science Reviews 28:2616-2632.",,,,
"Lézine & Hooghiemstra 1990 Land-sea comparisons during the last glacial-interglacial transition: pollen records from West Tropical Africa. Palaeogeography, Palaeoclimatology, Palaeoecology. Vol 79:313-331. https://doi.org/10.1016%2F0031-0182%2890%2990025-4",,,,
"Lézine & Hooghiemstra 1990 Land-sea comparisons during the last glacial-interglacial transition: pollen records from West Tropical Africa. Palaeogeography, Palaeoclimatology, Palaeoecology. Vol 79:313-331. https://doi.org/10.1016%2F0031-0182%2890%2990025-3",,,,
"Lézine 1987 Paléoenvironnements végétaux d'Afrique nord-tropicale depuis 12 000 B.P., analyse oillinique de séries sédimentaires continentales (Sénégal, Mauritanie). Thèse, Université Aix-Marseille II",,,,
"Lézine 1987 Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse, Université Aix-Marseille II",,,,
"Lézine 1987 Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse, Université Aix-Marseille II.",,,,
"Lézine 1988 Les variations de la couverture forestière mésophile d'Afrique occidentale au cours de l'Holocène. Comptes Rendus de l'Académie des Sciences, Paris. Vol. 307: 439-445",,,,
"Lézine 1988 New pollen data from the Sahel, Senegal. Review of Palaeobotany and Palynology. Vol. 55: 141-154. https://doi.org/10.1016%2F0034-6667%2888%2990082-6",,,,
Lezine 1991 West African Paleoclimates during the Last Climatic Cycle Inferred from an Atlantic Deep-Sea Pollen Record. Quaternary Research,,,,
Lezine A.M.; Casanova J.; Hillaire-Marcel C 1990 Across an early Holocene humid phase in western Sahara:Pollen and isotope stratigraphy. Geology. Vol. 18: 264-267 10.1130/0091-7613(1990)018<0264:aaehhp>2.3.co;2,,,,
Lézine and Chateauneuf 1991 Peat in the Niayes of Senegal: depositional environment and Holocene evolution. Journal of African Earth Sciences. Vol. 12: 171-179,,,,
"Lézine and Chateauneuf, 1991 Peat in the Niayes of Senegal: depositional environment and Holocene evolution. Journal of African Earth Sciences. Vol. 12: 171-179",,,,
"Lézine et al. 1985 Etude palynologique et sédimentologique d'un milieu margino-littoral: la tourbière de Thiaye (Sénégal). Sciences Géologiques, Bulletin. Vol. 38: 79-89",,,,
Lézine et al. 2011 Late Holocene plant and climate evolution at Lake. Climate of the past. 10.5194/cp-7-1-2011,,,,
Lézine unefined date (unpublished?),,,,
"Lézine, 1987 Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse, Université Aix-Marseille II",,,,
"Lézine, A. M. 1987. Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse de doctorat, Université Aix-Marseille II, 180 p.",,,,
"Lézine, A.M. 1981. Le Lac Abiyata (Ethiopie) - Palynologie et paléoclimatologie du Quaternaire récent. Thèse 3ème cycle, Université de Bordeaux. 

",,,,
"Lézine, A.M. 1987 Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie). Thèse, Université Aix-Marseille II",,,,
"Lézine, A.M. 1987 Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie).Thèse, Université Aix-Marseille II,180 pp.",,,,
"Lézine, A.M. 1987. Paléoenvironnements végétaux d'Afrique Nord-Tropicale depuis 12 000 B.P.: analyse pollinique de séries sédimentaires continentales (Sénégal-Mauritanie).Thèse , Université Aix-Marseille/",,,,
"Lézine, A.M. 1988 Les variations de la couverture forestière mésophile d'Afrique occidentale au cours de l'Holocène. Comptes Rendus de l'Académie des Sciences, Paris Vol. 307 439-445",,,,
"Lézine, A.M. 1988 New pollen data from the Sahel, Senegal. Review of Palaeobotany and Palynology. https://doi.org/10.1016%2F0034-6667%2888%2990082-6",,,,
"Lézine, A.M. 1993 Chemchane, histoire d'une sebkha. Sécheresse Vol. 4: 25-30",,,,
"Lézine, A.M. et al 1998 Holocene Lakes from Ramlat as-Sab'atayn (Yemen) Illustrate the Impact of Monsoon Activity in Southern Arabia. Quaternary Research. https://doi.org/10.1006%2Fqres.1998.1996",,,,
"Lézine, A.M. et al 2010 Climate change and human occupation in the Southern Arabian lowlands during the last deglaciation and the Holocene. Global and Planetary Change. https://doi.org/10.1016%2Fj.gloplacha.2010.01.016",,,,
"Lézine, A.M. unpublished",,,,
"Lézine, A.-M., Lemonnier, K., Fofana, C.A.K. 2019 Sahel environmental variability during the last millennium: Insight from a pollen, charcoal and algae record from the Niayes area, Senegal Review of Palaeobotany and Palynology Vol. 271 10.1016/j.revpalbo.2019.104103",,,,
"Lézine, A.-M., Turon, J.-L., & Buchet, G. (1995). Pollen analyses off Senegal: Evolution of the coastal palaeoenvironment during the last deglaciation. Journal of Quaternary Science, 10(2), 95–105. https://doi.org/10.1002/jqs.3390100202















",,,,
"Lézine, A.M.; Bonnefille, R. 1982. Diagramme pollinique Holocène d'un sondage du Lac Abiyata (Ethiopie, 7°42' Nord).Pollen et Spores

",,,,
"Lézine, A.M.; Chateauneuf, J.J. 1991 Peat in the Niayes of Senegal: depositional environment and Holocene evolution. Journal of African Earth Sciences Vol. 12 171-179",,,,
"Lézine, A.M.; Ivory, S.J.; Braconnot, P.; Marti, O. 2017 Timing of the southward retreat of the ITCZ at the end of the Holocene Humid Period in Southern Arabia: Data-model comparison. Quaternary Science Reviews. Vol. 164: 68-76. https://doi.org/10.1016/j.quascirev.2017.03.019",,,,
"Lézine, A.M.; Leroux, M.; Turon, J.L.; Buchet, G.; Tastet, J.P. 1995 Transport pollinique et circulation atmophérique au large de l'Afrique tropicale occidentale au cours de la dernière déglaciation. Bulletin de la Société géologique de France",,,,
"Lézine, A.M.; Saliège, J.F.; Mathieu, R.; Tagliatela, T.L.; Mery, S.; Charpentier, V.; Cleuziou, S. 2002 Mangroves of Oman during the late Holocene: climatic implications and impact on human settlements. Journal of Vegetation History and Archaeobotany. Vol. 11: 221-232",,,,
"Lézine, A.M.; Turon, J.L.; Buchet G. 1995 Pollen analyses off Senegal: Evolution of the coastal palaeoenvironment during the last deglaciation. Journal of Quaternary Science",,,,
Lezine; Casanova 1991 Correlated oceanic and continental records demonstrate past climate and hydrology of North Africa (0-140 ka). Geology,,,,
"Lézine; Hooghiemstra 1990 Land-sea comparisons during the last glacial-interglacial transition: pollen records from West Tropical Africa. Palaeogeography, Palaeoclimatology, Palaeoecology",,,,
Lézine; Saliège; Robert;  Wertz;  Inizan 1998 Holocene Lakes from Ramlat as-Sab'atayn (Yemen) Illustrate the Impact of Monsoon Activity in Southern Arabia. Quaternary Research. Vol. 50: 290-299. https://doi.org/10.1006%2Fqres.1998.1996,,,,
"Lézine;Tiercelin; Robert;  Saliège;  Cleuziou; Inizan;  Braemer 2007 Centennial to millennial-scale variability of the Indian monsoon during the early Holocene from a sediment, pollen and isotope record from the desert of Yemen. Palaeogeography, Palaeoclimatology, Palaeoecology. Vol. 243: 235-249. https://doi.org/10.1016%2Fj.palaeo.2006.05.019",,,,
"Linstädter, J., and M. Kehl. 2012. The Holocene archaeological sequence and sedimentological processes at Ifri Oudadane, NE Morocco. Journal of Archaeological Science 39(10):3306-3323.",,,,
"Lippi, M., Bellini, C., Benvenuti, M., Fedi, M. 2011 Palaeoenvironmental signals in ancient urban settings: The heavy rainfall record in Sumhuram, a pre-Islamic archaeological site of Dhofar (S Oman). The Holocene. Vol. 21: 951-965. https://doi.org/10.1177/0959683611400203",,,,
"Litt, T., C. Ohlwein, F.H. Neumann, A. Hense, and M. Stein. 2012. Holocene climate variability in the Levant from the Dead Sea pollen record. Quaternary Science Reviews 49:95-105.",,,,
"Litt, T., S. Krastel, M. Sturm, R. Kipfer, S. Örcen, G. Heumann, S.O. Franz, U.B. Ülgen, and F. Niessen. 2009. 'PALEOVAN', International Continental Scientific Drilling Program (ICDP): site survey results and perspectives. Quaternary Science Reviews 28(15-16):1555-1567. [DOI: 10.1016/j.quascirev.2009.03.002]",,,,
"López-Merino, L., J.A. López-Sáez, S. Pérez-Díaz, and J.S. Carrión. 2009. 2000 years of pastoralism and fire shaping high-altitude vegetation of Sierra de Gredos in central Spain. Review of Palaeobotany and Palynology 158:42-51.",,,,
"López-Sáez, J.A. 2011. VII. Paleobotánica en Camino de las Yeseras. VII.1. Análisis palinológicos en el poblado calcolítico de Camino de las Yeseras (San Fernando de Henares, Madrid). Pages 249-261 in Yacimientos calcolíticos con campaniforme de la región de Madrid: nuevos estudios., Concepción blasco, Corina Liesau y Patricia Ríos (eds.) edition.",,,,
"López-Sáez, J.A. 2011.Yacimientos calcolíticos con campaniforme de la región de Madrid: nuevos estudios. VII. Paleobotánica en Camino de las Yeseras. VII.1. Análisis palinológicos en el poblado calcolítico de Camino de las Yeseras (San Fernando de Henares, Madrid). Concepción blasco, Corina Liesau y Patricia Ríos (eds.). pp249-261..",,,,
"López-Sáez, J.A., B. van Geel, S. Farbos-Texier, and M.F. Diot. 1998. Remarques paléoécologiques à propos de quelques palynomorphes non-polliniques provenant de sédiments quaternaires en France. Revue Paléobiologie 17(2):445- 459.",,,,
"López-Sáez, J.A., L. López-Merino, and S. Pérez-Díaz. 2008. Historia de la vegetación: una aproximación arqueopalinológica [History of the vegetation: an archeopalynological approach]. M.H.M. Priego de Córdoba. Antiqvitas 20:41-47.",,,,
"López-Sáez, J.A., L. López-Merino, F. Alba-Sánchez, S. Pérez-Díaz, D. Abel-Schaad, and J.S. Carrión. 2010. Late Holocene ecological history of Pinus pinaster forests in the Sierra de Gredos of central Spain. Plant Ecology 206(2):195-209..",,,,
"López-Sáez, J.A., L. Peña-Chocarro, L. López-Merino, E. García-Gómez, S. Pérez-Díaz, V. García-Entero, and R. Castelo-Ruano. 2009. Paisajes culturales de las villas romanas de Toledo. Cuad. Soc. Esp. Cienc. For. 30:101-106..",,,,
"López-Sáez, J.A., M. Sánchez, and P. López. 1999. Evolución del Lanzahíta (Valle del Tiétar, vila) durante el Holoceno reciente: Una interpretación palinológica. Trasierra, 4, 1999:81-86..",,,,
"López-Sáez, J.A., P. López-García, and L. López-Merino. 2010. Zafrín. Un asentamiento del Neolítico antiguo en las islas Chafarinas (Norte de africa, España). Anexo 1. Paleoambiente de las Islas Chafarinas durante el Neolítico antigo: análisis polínicos en el yacimiento arqueológico de Zafrín (Isla de Congresco). Studia Archaeologia 96:165-175. Notes: Universidad de Vallodolid.",,,,
"López-Sáez, J.A., P. López-García, and M. Cortés-Sánchez. 2007. Chapter VII. Paleovegetación del Cuaternario reciente: Estudio arqueopalinológico. Pages 131-156 in M. Cortés-Sánchez, editor. Cueva Bajondillo (Torremolinos). Secuencia cronocultural y paleoambiental del Cuaternario reciente en la Bahía de Málaga, Centro de Ediciones de la Diputación de Málaga, Junta de Andalucía, Universidad de Málaga, Fundación Cueva de Nerja y Fundación Obra Social de Unicaja, Málaga edition.",,,,
"López-Sáez, J.A., P. López-García, and R. Marcías-Rosado. 1997. Acción antrópica y reconstrucción de la vegetación durante el Holoceno reciente en el Valle del Tiétar, Sierra de Gredos (?vila). Cuaternario y Geomorfología, 11(1-2):43- 54..",,,,
"López-Sáez, J.A., P. López-García, C. Gómez-Ferreras, and P. Gil-Hernández. 1996. Acerca del origen del castaño (Castanea sativa) en el Valle del Tiétar (Sierra de Gredos, ?vila). En : Ruiz Zapata B. & cols. (Eds.), Estudios Palinológicos, XI Simposio de Palinología (A.P.L.E), Universidad de Alcalá de Henares (1996) pp.79-82.",,,,
"Luelmo-Lautenschlaeger, R., J.A. López-Sáez, and S. Pérez-Díaz. 2018. Contribution to the European Pollen Database. 40. Botija, Toledo Mountains (central Spain). Grana 57(4):322-324.",,,,
"Luelmo-Lautenschlaeger, R., J.A. López-Sáez, and S. Pérez-Díaz. 2018. Contributions to the European pollen Database. 39. Las Lanchas, Toledo Mountains (central Spain). Grana 57(3):246-248.",,,,
"Maley 1980 Les changements climatiques de la fin du Tertiaire en Afrique: leur conséquence sur l’apparition du Sahara et de sa végétation. in: Williams, M. and Faure, H. The Sahara and the Nile, A . A . Balkema, Rotterdam. Vol. 63: 63-86",,,,
Maley 1980 Les changements climatiques de la fin du Tertiaire en Afrique: leur conséquence sur l’apparition du Sahara et de sa végétation. The Sahara and the Nile. P. 63-86,,,,
Maley 1981 Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30 000 ans à l'époque actuelle.,,,,
"Maley 1981 Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30 000 ans à l'époque actuelle. Orstom, Paris, 586p.",,,,
"Maley 1981 Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30 000 ans à l'époque actuelle. Orstom, Paris. 586 pp.",,,,
"Maley 1981 Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30.000 ans à l'époque actuelle. Orstom, Paris, Travaux et Documents 129",,,,
"Maley 2000 Last Glacial Maximum lacustrine and fluviatile Formations in the Tibesti and other Saharan mountains, and large-scale climatic teleconnections linked to the activity of the Subtropical Jet Stream. Global and Planetary Change Vol. 26. 121-136. https://doi.org/10.1016%2Fs0921-8181%2800%2900039-4",,,,
"Maley 2004 Le bassin du Tchad au Quaternaire récent: formations sédimentaires, paléoenvironnements et préhistoire. La question des paléotchads. In: Sémah A.M., Renault-Miskovsky J. (Eds). L'évolution de la végétation depuis deux millions d'années. Guides de la Préhistoire Mondiale, Editions Errance. pp. 179-217",,,,
"Maley, J. 1981 Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30 000 ans à l'époque actuelle. Orstom, Paris. 586pp",,,,
"Maley, J. 1981. Etudes palynologiques dans le bassin du Tchad et paléoclimatologie de l'Afrique Nord-Tropicale de 30 000 ans à l'époque actuelle. Orstom, Paris, 586p.",,,,
"Maley, J.; Cohen, J.; Faure, H.; Rognon, P.; Vincent, P.M. 1970 Quelques formations lacustres et fluviales associés à différentes phases du volcanisme au Tibesti (Nord du Tchad). Cahier ORSTOM, série Géologie II. Vol. 1.",,,,
"Marks et al. 2019 Cyclonic activity over northeastern Africa at 8.5–6.7?cal?kyr B.P., based on lacustrine records in the Faiyum Oasis, Egypt. Palaeogeography, Palaeoclimatology, Palaeoecology. Volume 528, Pages 120-132. https://doi.org/10.1016/j.palaeo.2019.04.032.",,,,
"Marliac Alain, Médus J. (1997). Un environnement végétal anthropique des abords du XIème siècle sur la rive de Mayo Boula, sud de Maroua, Cameroun septentrional. In : Barreteau Daniel (ed.), Dognin René (ed.), Von Graffenried C. (ed.). L_homme et le milieu végétal dans le bassin du lac Tchad = Man and vegetation in the lake Chad basin. Paris : ORSTOM, p. 123-129. (Colloques et Séminaires). Séminaire du Réseau Méga-Tchad, Sèvres (FRA), 1991/09/18-20. ISBN 2-7099-1372-0. ISSN 0767-2896.",,,,
"Marriner, N., and C. Morhange. 2005. Under the city centre, the ancient harbour. Tyre and Sidon: heritages to preserve. Journal of Cultural Heritage 6:183-189.",,,,
"Marriner, N., J.L. de Beaulieu, and C. Morhange. 2004. Note on the Vegetation Landscapes of Sidon and Tyre during Antiquity. Archaeology & History in Lebanon 19:85-91.",,,,
"Marriner, N., J.L. de Beaulieu, and C. Morhange. 2006.  Geoarchaeological evidence for dredging in Tyre_s ancient harbour, Levant. Quaternary Research. 65.",,,,
Mauro Cremaschi; Andrea Zerboni; Anna Maria Mercuri; Linda Olmi; Stefano Biagetti; Savino di Lernia 2014 Takarkori rock shelter (SW Libya): an archive of Holocene climate and environmental changes in the central SaharA. https://doi.org/10.1016%2Fj.quascirev.2014.07.004,,,,
Medus 1981 Données préliminaires sur la palynologie de l_Holocène du delta du fleuve Sénégal. Géobios Vol. 614 801-805.,,,,
"Medus and Barbey, 1979 Deux analyses polliniques de sédiments minéraux de Mauritanie méridionales. Association sénégalaise pour l'Etude du Quaternaire, Bulletin de Liaison. Vol. 54-55: 75-79",,,,
"Médus, J. 1975 Spectres palynologiques de deux sédiments du Nouakchottien des environs de Saint-Louis (Sénégal) Bulletin de l'Institut Fondamental d'Afrique Noire 534-536",,,,
"Médus, J. 1984 Analyse pollinique des sédiments holocènes du lac Tanma, Sénégal. Palaeoecology of Africa. Vol. 16 255-264",,,,
"Médus, J.; J. R. Lappatient; R. Flicoteaux. 1981 Faune, palynoflore et argiles du Quaternaire du lac Tanma (Sénégal, Cap Vert). Oceanis Vol. 7 431-438.",,,,
"Médus, J.; Malléa, M.; Marliac, A.; Matheiu, P. 1997 Pollenanalyses et mycoflore de dépôts récents de terrasses fluviatiles du Cameroun septentrional",,,,
"Mercuri 1999 Palynological analysis of the Early Holocene sequence, in The Uan Afuda cave, Hunter-Gatherer societies of Central Sahara. Arid zone archaeology, Monographs 1, All'Insegna del Giglio Chapter 8. 149-253",,,,
"Mercuri 2001 Palynological analyses of the Late Pleistocene, Early Holocene and Middle Holocene layers. In : E.A.A. Garcea (ed), Uan Tabu in the settlement history of the Libyan Sahara. Arid Zone Archaeology, Monographs 2, All'Insegne del Giglio, Firenze 161-188, 237-251",,,,
"Mercuri 2008 Human influence, plant landscape evolution and climate inferences from the archaeobotanical records of the Wadi Teshuinat area (Libyan Sahara). Journal of Arid Environments. Vol. 72: 1950-1976. https://doi.org/10.1016%2Fj.jaridenv.2008.04.008",,,,
Mercuri 2015 Humans and Water in Desert “Refugium” Areas: Palynological Evidence of Climate Oscillations and Cultural Developments in Early and Mid-Holocene Saharan Edges. INTERDISCIPLINARIA ARCHAEOLOGICA NATURAL SCIENCES IN ARCHAEOLOGY. Vol. 6: 151-160,,,,
"Mercuri et al 1998 New pollen data from the Uan Muhuggiag rockshelter (Libyan Sahara, VII-IV millennia BP). In: M. Cremaschi, S. di Lernia (eds), 'Wadi Teshuinat. Palaeoenvironment and prehistory in south-western Fezzan (Libyan Sahara). Survey and excavations in the Tadrart Acacus, Erg Uan Kasa, Messak Settafet and Edeyen of Murzuq, 1990-1995, Edizioni All'Insegna del Giglio, Firenze. pp. 107-122",,,,
"Michel, P.; Asémien, P. 1969 Etudes sédimentologique et palynologique des sondages de Bogué (basse vallée du Sénégal) et leur interprétation morphoclimatique. Revue de Géomorphologie dynamique. Vol. 1997-113.",,,,
"Miebach, A., P. Niestrath, P.A. Roeser, and T. Litt. 2016. Impacts of climate and humans on the vegetation in northwestern Turkey: palynological insights from Lake Iznik since the Last Glacial. Climate of the Past 12:575-593.",,,,
"Miller C.S, Leroy S.A.G., Collins P.E.F., Lahijani H.A.K 2016 Late Holocene vegetation and ocean variability in the Gulf of Oman. Quaternary Science Reviews 143: 120-132",,,,
"Moe, D., and W.O. van der Knaap. 1990. Transhumance in mountain areas: additional interpretation of three pollen diagrams from Norway, Portugal and Switzerland. Pact 31, Impact of prehistoric and medieval man on the vegetation: Man at the forest limit. Report of the meeting held at Ravello, December 9 and 10. 1990. Pact Network, Palaeoecology. Pact Belgium, Rixensiart..",,,,
"Mohammed, M.U. 1992. Paléoenvironnement et paléoclimatologie des derniers millénaires en Ethiopie. Contribution palynologique. Thèse, Université Aix-Marseille III,",,,,
"Mohammed, M.U. 1992. Paléoenvironnement et paléoclimatologie des derniers millénaires en Ethiopie. Contribution palynologique. Thèse, Université Aix-Marseille III.",,,,
"Mohammed, M.U.; Bonnefille, R. 1992. The recent history of vegetation and climate around Lake Langeno (Ethiopia). Palaeoecology of Africa.",,,,
"Morales, J., G. Pérez-Jordá, L. Peña-Chocarro, L. Zapata, M. Ruíz-Alonso, J.A. López-Sáez, and J. Linstädter. 2013. The origins of agriculture in North-West Africa: macro-botanical remains from Epipalaeolithic and Early Neolithic levels of Ifri Oudadane (Morocco). Journal of Archaeology Science 40(6):2659-2669.",,,,
"Morales-Molino, C., D. Colombaroli, M. Valbuena-Carabaña, W. Tinner, R.L. Salómon, J.S. Carrión, and L. Gil. 2017. Land-use history as a major driver for long-term forest dynamics in the Sierra de Guadarrama National Park (central Spain) during the last millennia: implications for forest conservation and management. Global and Planetary Change 152:64-75. [DOI: 10.1016/j.gloplacha.2017.02.012]",,,,
"Morales-Molino, C., M. García-Antón, J.M. Postigo-Mijarra, and C. Morla. 2013. Holocene vegetation, fire and climate interactions on the westernmost fringe of the Mediterranean Basin. Quaternary Science Reviews 59:5-17.",,,,
"Morel, A.; Schulz, E. 1981 Recherches palynologiques et géomorphologiques dans le massif de l'Aïr (Niger): note préliminaire. Revue de Géographie Alpine. Vol. 69: 583-592. https://doi.org/10.3406/rga.1981.2481",,,,
"Morhange, C., O. Dubuquoy, N. Prunet, E. Ribes, J.L. de Beaulieu, M. Bourcier, P. Carbonel, C. Oberlin, and C. Doumet-Serhal. 2000. Étude paléoenvironnementale du port antique de Sidon. Premiers résultats du programme CEDRE. Méditerranée 94(1.2):91-100.",,,,
"Muller et al. 2015 Vegetation history of the western Rif mountains (NW Morocco): origin, late-Holocene dynamics and human impact. Vegetation History and Archaeobotany. 24:487–501",,,,
"Neumann, K.; Ballouche, A. 1992 Die Chaine de Gobnangou in SE Burkina Faso – Ein Beitrag zur Vegetationsgechichte der Sudanzone W-Afrikas. Geobot. Kolloq. Vol. 8, P.53-68",,,,
"Nimmergut, A.P., J.R.M. Allen, V.J. Jones, B. Huntley, and R.W. Battarbee. 1999. Submillennial environmental fluctuations during marine Oxygen Isotope Stage 2: a comparative analysis of diatom and pollen evidence from Lago Grande di Monticchio, South Italy. Journal of Quaternary Science 14(2):111-123. [DOI: 10.1002/(SICI)1099-1417(199903)14:2<111::AID-JQS427>3.0.CO;2-A]",,,,
"Noti, R., J.F.N. van Leeuwen, D. Colombaroli, E. Vescovi, S. Pasta, T. La Mantia, and W. Tinner. 2009. Mid- and late-Holocene vegetation and fire history at Biviere di Gela, a coastal lake in southern Sicily, Italy. Vegetation History and Archaeobotany 18:371-387.",,,,
"Nourelbait, M., A. Rhoujjati, F. Eynaud, A. Benkaddour, L. Dezileau, K.A.I. Wainer, T. Goslar, C. Khater, and R. Cheddadi. 2014. An 18 000-year pollen and sedimentary record from the cedar forest of the Middle Atlas, Morocco. Journal of Quaternary Science 29(5):417-426.",,,,
"Novello et al. 2015 Diatom, phytolith, and pollen records from a 10Be/9Be dated lacustrine succession in the Chad basin: Insight on the Miocene–Pliocene paleoenvironmental changes in Central Africa. Palaeogeography, Palaeoclimatology, Palaeoecology. Vol. 430. P 85-103. https://doi.org/10.1016/j.palaeo.2015.04.013",,,,
"Palli, Jordan UNPUBLISHED",,,,
"Pantaléon-Cano, J., E.I. Yll, R.P. Pérez-Obiol, and J.M. Roure. 2003. Palynological evidence for vegetational history in semi-arid areas of the western Mediterranean (Almeria, Spain). The Holocene 13(1):109-119.",,,,
"Paquereau, V. Evolution de la mangrove ouest africaine au cours de la dernière déglaciation: analyse palynologique de la carotte A-18056. Mémoire du Magistère de l'Ecole Normale Supérieure, Unpublished",,,,
"Parker A.G.; Eckersley L.; Smith  M. M.; Goudie A. S.;  Stokes S.; Ward S.; White K.;  Hodson M. J.2004 Holocene vegetation dynamics in the northeastern Rub_al-Khali desert, Arabian Peninsula: a phytolith, pollen and carbon isotope study. Journal of Quaternary Science. Vol. 19: 665-676",,,,
"Pedrotta, T., E. Gobet, C. Schwörer, G. Beffa, C. Butz, P.D. Henne, C. Morales-Molino, S. Pasta, J.F.N. van Leeuwen, H. Vogel, E. Zwimpfer, F.S. Anselmetti, M. Grosjean, and W. Tinner. 2021. 8,000 years of climate, vegetation, fire and land-use dynamics in the thermo-mediterranean vegetation belt of northern Sardinia (Italy). Vegetation History and Archaeobotany 30:789-813. [DOI: https://doi.org/10.1007/s00334-021-00832-3]",,,,
"Petit-Maire 1981 Holocene lake deposits and palaeoenvironments in Central Sahara, Northeastern Mali. Palaeogeography, Palaeoclimatology, Palaeoecology. Vol. 35: 45-61",,,,
"Pons, A., and M. Reille. 1988. The holocene- and upper pleistocene pollen record from Padul (Granada, Spain): a new study. Palaeogeography, Palaeoclimatology, Palaeoecology 66:243-263.",,,,
"Pons, A., Quézel, P. 1958 Premières remarques sur l'étude palynologique d'un guano fossile du Hoggar. Compte-Rendus de l'Académie des Sciences, Paris. Vol. 246: 2290-2292",,,,
"Pons, A.; Quézel, P. 1957 Première étude palynologique de quelques paléosols sahariens. Travaux de l’Institut de Recherches Sahariennes. Vol. 14: 15-40",,,,
"Quézel, P.; C. Martinez 1958 Etude palynologique de deux diatomites du Borkou (Territoire du Tchad A.E.F.). Bull. Soc. Hist. Nat. Afr. Nord. Vol. 49. 230-244",,,,
"Quézel, P.; Martinez, C. 1962 Premiers résultats de l'analyse palynologique de sédiments recueillis au Sahara méridional à l'occasion de la mission Berliet-Tchad. In: Missions Berliet Ténéré-Tchad, Paris. 313-327",,,,
"Ravazzi, C., M. Mariani, C. Criado, L. Garozzo, A. Naranjo-Cigala, F.J. Perez-Torrado, R. Pini, A. Rodriguez-Gonzalez, S. Nogué, R.J. Whittaker, J.M. Fernández-Palacios, and L. de Nascimento. 2020. The influence of natural fire and cultural practices on island ecosystems: insights from a 4800 year record from Gran Canaria, Canary Islands. Journal of Biogeography. [DOI: DOI: 10.1111/jbi.13995]

",,,,
"Raymonde Bonnefille; Umer Mohammed 1994 Pollen-inferred climatic fluctuations in Ethiopia during the last 3000 years. Palaeogeography, Palaeoclimatology, Palaeoecology. 10.1016/0031-0182(94)90183-x",,,,
