Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Plantago,x,x,x,x,,x,,,x,x,x,x,x,x,x,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,
Platanus,,,,,,,,,,x,,x,x,x,,,,,"Grimm, and Denk (2008) Annals of Botany",,,,,,,,
Plumbaginaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Poaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Poaceae (Cerealia-type),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Podocarpus,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"East Malagasy, Kalahari-Highveld, Lake Victoria, fromontane archipelago-lik"
Podostemaceae,,,x,x,,x,x,,,,,,,,,,,,"Milliken, W., Klitgard, B. and Baracat, A. (2009), Neotropikey - Interactive key and information resources for flowering plants of the Neotropics.",,,,,,,,
Polemonium,,,,,,,,,,x,x,x,,x,,,,,Rose et al. (2021) Systematic Biology,,,,,,,,
Polygala,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Polygonum t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Polyscias,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983): also in the Sahel
Populus,,,,x,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Portulacaceae t.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,
Potamogeton,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Timberlake and Martins (2009). Flora Zambesiaca, Vol 12 (part 2). Royal Botanic Gardens, Kew",,,,,,,,
Potentilla t.,,,x,x,,,,,,x,x,x,x,x,,,,,"Castroviejo, S., Aedo, C., Cirujano, S., Laínz, M., Montserrat, P., Morales, R., Muñoz Garmendia, F., Navarro, C., Paiva, J. & Soriano, C. (eds.). 1993. Flora iberica vol. LXXXVII. Real Jardín Botánico, CSIC, Madrid.",,,,,,,,
Pouchetia,,,,,,x,,,,,,,,,,,,,Robbrecht et al. (1991) Belg. Journ. Bot. 124 (2),,,,,,,,
Primula,,,,,,,,,,x,x,x,x,x,,,,,Tütüncü 2020 International Journal of Agricultural and Natural Sciences,,,,,,,,
Primulaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Prosopis t.,,,,,,,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"Cultivated and naturalised worldwide (Lewis, B. Schrire, B. MacKinder & M. Lock. 2005)"
Proteaceae,x,x,x,x,x,x,x,x,,x,x,x,,x,x,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Prunus t.,x,x,x,x,x,x,,,,x,x,x,,x,x,,,,"Potter, D. (2011). Prunus. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,
Pseudoschizaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA
Psidium,,,,,,,,,,,,,,x,,x,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,"Timothy et al. 2022: Its native range is from South America to Mexico, but it has become widely naturalised in subtropical and tropical areas of the world, including New Guineo. A genus of about 100 species."
Psilotrichum t.,,,,x,,,,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hély (2014) is in the Sahel-Sahara
Psoralea,,,x,,,,,,,,,,,,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew",,,,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew: In S and E of southern Africa (Cape and Afromontane regions, especially common in mediterranean S and SW Cape, with fewer species in E parts to Zimbabwe); outliers in Angola and St. Helena Island (now extinct). According to Hély (2014) in Saharan-Sahel."
Psychotria,,,x,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Psydrax,,,x,x,,x,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Pterocarya,,,,,,,,,,x,,x,,,,,,,Song et al. (2020) Plants,,,,,,,,
Pterolobium,,,,x,,,,,,,,,,,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock (2005) Royal Botanic Gardens, Kew.",,,,,,,,
Pteropyrum,,,,,,,,,,,,,x,,,,,,"Tavakkoli et al, (2008) IRAN. JOURN. BOT",,,,,,,,
Punica granatum,,,,,,,,,,x,,x,x,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"According to Thulin et al. (2008): Cultivated throughout the Mediterranean areas since prehistoric times, now widely grown in temperate and subtropical areas. Probably native to Turkey, Iran and Afghanistan"
Pycnanthus,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Quercus deciduous,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Quercus evergreen,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Quercus subgen. Cerris,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Quercus undif.,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Randia,,,,,,,,,,,,,,x,x,x,,,Gustafsson and Persson 2002 Taxon,,,,,,,,American genus
Ranunculaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Milliken, W., Klitgard, B. and Baracat, A. (2009), Neotropikey - Interactive key and information resources for flowering plants of the Neotropics.",,,,,,,,
Rapanea,,,x,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"Somali-Massai, Afromontane archipelago, Kalahari-Highveld, South Africa"
Raphia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Resedaceae undiff.,,,x,x,,,,x,x,x,x,x,x,x,x,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Rhamnaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Rhamnus,,,x,x,,,,,,x,x,x,x,x,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Rheum,,,,,,,,,,x,x,x,x,,,,,,Zhang et al. (2021) Journal of Systematics and Evolution,,,,,,,,
Rhizophora,x,,,,,,,,,,,,,,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,pantropical distribution
Rhododendron,,,,,,,,,,x,x,x,x,x,x,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Rhus coriaria,,,,,,,,,,x,,,,,,,,,Shabbir 2012 The Journal of Animal & Plant Sciences,,,,,,,,
Ribes,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Sun, Q., Wang, N., Xu, W., & Zhou, H. (2021). Genus Ribes Linn.(Grossulariaceae): A comprehensive review of traditional uses, phytochemistry, pharmacology and clinical applications. Journal of Ethnopharmacology, 276, 114166.",,,,,,,
Riccia,,,,,,,,,,x,x,x,x,x,,,,,"Wheeler, J. A. (1998). Molecular phylogenetic analyses of Riccia and Marchantiales. Oregon State University.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,Thulin et al. (2008) Flora of Somalia: A single species which fossil evidence has shown to be native in NE Africa but now cultivated and/or escaped throughout the tropics and warm temperate regions.
Ricinus,,,,x,,,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,Thulin (2008): A single species which fossil evidence has shown to be native in NE Africa but now cultivated and/or escaped throughout the tropics and warm temperate regions.
Robinia,,,,,,,,,,,,,,x,,x,,,"Lewis, B. Schrire, B. MacKinder & M. Lock (2005) Royal Botanic Gardens, Kew.",,,,,,,,
Roemeria,,,,,,,,,,x,x,x,x,,,,,,Kadereit 1987 Flora,,,,,,,,
Rosa t.,,,,x,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,"Cultivated worldwide, some species are invasive"
Rosaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Rubiaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Ruellia,,,x,x,,,x,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Rumex t.,x,x,x,x,x,x,,,x,x,x,x,x,x,x,,,,"Pope GV, Polhill RM, Martins ES. 2006. Flora Zambesiaca. Vol. 9, Part 3. Polygonaceae-Myriaceae.",,,,,,,,
Ruppia,,,x,,,,,,x,x,x,x,x,x,x,,,,Mannino et al. (2015) Aquatic Botany,,,,,,,,
Ruta,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Rutaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Salix,x,x,x,x,,x,x,,,x,x,x,x,x,,,,,Tawfeek et al. 2021 Front. Pharmacol.,,,,,,,,
Salvadora,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Sambucus,,,,x,,,,,,x,x,x,x,x,x,,,,Waswa et al. (2022) Journal of Ethnopharmacology,,,,,,,,
Samolus,,,x,,,,,,,x,x,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Sanguisorba t.,,,,,,,,,,x,x,x,x,x,,,,,Zhou et al. (2021) Front. Pharmacol.,,,,,,,,
Santalaceae undif.,,,x,x,x,,,,,x,,x,x,x,x,,,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Sapindaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Sapium,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,Acording to POWO is native to South America
Sapotaceae undif.,x,x,x,x,x,x,x,,,x,,x,x,x,x,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,pantropical distribution
Sarcocapnos,,,,,,,,,,x,,,,,,,,,Salinas et al (2003) Plant Systematics and Evolution,,,,,,,,
Sarcopoterium,,,,,,,,,,x,,,,,,,,,"Henkin, Z., Rosenzweig, T., Yaniv, Z. (2014). Sarcopoterium spinosum . In: Yaniv, Z., Dudai, N. (eds) Medicinal and Aromatic Plants of the Middle-East. Medicinal and Aromatic Plants of the World, vol 2.",,,,,,,,
Saxifraga t.,,,,x,,,,,,x,x,x,x,x,,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,According to Hély (2014) Saxifraga hederifolia occurs in the Sahel
Saxifragaceae,,,,,,,,,,x,x,x,x,x,x,,,,"Bramley, Trias-Blasi & Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Schefflera,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Schrebera,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Sclerocarya,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Scrophulariaceae t.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,
Scrophulariaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,
Searsia,,,x,x,,x,x,x,x,x,,,,,,,,,Yang et al. (2016) South African Journal of Botany,,,,,,,,The genus is widely distributed in Africa with three species in eastern Asia
Secale,,x,,,,,,,,x,x,x,x,,,,,,"Tang, Z.X. et al. (2011). Secale. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg.",,,,,,,,"Over time, the genus Secale has widely radiated from its probable origins in southwestern Asia (Bushuk 2001) to the Mediterranean, the Balkans, and Central Asia. An isolated population also appeared in South Africa (Sencer and Hawkes 1980)."
Securinega t.,,x,,,,,,,,,,,,,,,,,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,In White (1983) Securinega is now the genus Flueggea.
Selaginellaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Jermy, A.C. (1990). Selaginellaceae. In: Kramer, K.U., Green, P.S. (eds) Pteridophytes and Gymnosperms. The Families and Genera of Vascular Plants, vol 1.",,,,,,,,
Sesamum,x,x,x,x,x,x,x,x,,,,x,,,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,"Cultivated worldwide. About 30 species, all native of the arid parts Africa south of the Sahara, except for sect. Chamaesesamum with one species in India and Sri Lanka (Thulin et a. 2008)"
Sesbania,x,x,x,x,x,x,x,x,,,,x,x,x,x,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. Royal Botanic Gardens, Kew. (2005)",,,,,,,,"Africa-Madagascar (c. 30 spp.); Asia to Pacific (c. 9 spp.); Australia (c. 7 spp.); 2 spp. widespread in Palaeotropics; New World (c. 9 spp. USA to Argentina, but mostly N & C America); c. 3 spp. Pantropical (Lewis, B. Schrire, B. MacKinder & M. Lock. Royal Botanic Gardens, Kew. (2005)"
Sherbournia,,,,,,x,,,,,,,,,,,,,Puff et al. (1996) Opera Bot. Belg,,,,,,,,
Sida,x,x,x,x,x,x,x,x,,,,x,x,x,x,,,,Dinda et al. (2015) Journal of Ethnopharmacology,,,,,,,,According to Hély (2014) only Sudanian
Sideroxylon t.,,,x,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Stride, G., Nylinder, S., & Swenson, U. (2014). Revisiting the biogeography of Sideroxylon (Sapotaceae) and an evaluation of the taxonomic status of Argania and Spiniluma. Australian Systematic Botany, 27(2), 104-118.",,,,,,,Not in the Mediterranean according to White 1983.
Smilax,x,x,x,x,x,x,,,,x,,x,x,x,x,,,,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,
Solanaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,
Solanum,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Sparganium,,,,,,,,,,x,x,x,x,x,x,,,,Sulman et al. (2013) Evolution and Phylogeny,,,,,,,,
Spergularia t.,,,x,,,,,,,x,x,x,x,x,x,,,,"Alonso, M. Á., Crespo, M. B., Martínez-Azorín, M., & Mucina, L. (2021). Taxonomic identity and evolutionary relationships of South African taxa related to the Spergularia media group (Caryophyllaceae). Plant Systematics and Evolution, 307(2), 24.",,,,,,,,
Spermacoce,,,x,x,,x,x,x,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hély (2014) only Sudanian-Sahel
Sphenoclea,,,,x,,x,x,,,,,,,,,,,,Erbar (1995) Bot. Jahrb. Syst.,,,,,,,,
Spondias,,,,,,,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Spondias mombin is Sudanian according to Hély (2014) and White (1983)
Sterculia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Sterculia undif.,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Stereospermum,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Striga,,,x,x,,x,x,x,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
