"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hibiscus","Hippuris","Hottonia","Hydrocharitaceae","Hypericum undif.","Ilex","Impatiens","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Liquidambar","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Moltkia","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rheum","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viola","Vitis","Ziziphus/Paliurus"
"9034",NA,NA," 490","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  31","   0","   4","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   5","   0","   0","   4","   0"," 261","   0","  11","   0","   0","  33","   0","   0","   0","   1","   0","   5","   0"," 137","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 324","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0"," 125","   0","   1","   0","  69","   0","   8","   0","   0","   0","   0","   0","   1","  13","   9","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0"," 141","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0"
"9257",NA,NA," 500","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  24","   0","   6","   0","   0","   0","   9","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   3","   0"," 248","   0","   9","   0","   0","  29","   0","   0","   0","   0","   0","   5","   0"," 146","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 411","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 137","   0","   1","   0","  61","   4","   5","   0","   0","   0","   0","   0","   0","   2","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  80","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"9929",NA,NA," 530","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","  54","   0","  10","   0","   0","   0","  21","   0","   9","   0","   3","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","  16","   0"," 116","   0","  27","   0","   0"," 203","   0","   0","   0","   3","   0","   5","   0"," 121","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"," 300","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 189","   0","   0","   0","  43","   2","  13","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  52","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0"
"10153",NA,NA,"  540","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0","   34","    0","    4","    0","    0","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    3","    0","   41","    0","   20","    0","    0","   47","    0","    0","    0","    0","    0","   14","    0","   97","    0","    1","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","  103","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  100","    0","    1","    0","   26","    0","   15","    0","    1","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","   41","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"10599",NA,NA,"  560","    0","    0","    0","    1","    0","    3","    6","    0","    0","    0","   67","    0","    3","    0","    0","    0","   22","    0","    1","    0","    1","    0","    0","    3","    0","    0","    0","    0","    6","    0","    0","    1","    0","   21","    0","   35","    1","    0","   37","    0","    0","    0","    2","    0","   18","    0","   72","    0","    1","    0","    0","    0","    3","    1","    0","    0","    0","    0","    0","    0","   46","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   45","    0","    0","    0","   18","    4","   22","    0","    0","    0","    0","    0","    0","    9","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   63","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    1","    0","    0","    0","    0"
"11050",NA,NA,"  580","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","  107","    0","    5","    0","    0","    0","   26","    0","    2","    0","    0","    0","    0","    3","    0","    0","    1","    0","    8","    0","    0","    5","    0","   29","    0","   83","    0","    0","   83","    0","    0","    0","    2","    0","   18","    0","   72","    0","    2","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","   64","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  108","    0","    1","    0","   18","    1","   27","    0","    0","    0","    0","    0","    1","    7","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   35","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   11","    0","    0","    0","    0","    0","    0","    1","    0"
"11500",NA,NA,"  600","    0","    0","    1","    0","    0","    0","   18","    0","    0","    0","  204","    0","    7","    0","    0","    0","   21","    0","   11","    0","    1","    0","    0","    1","    0","    0","    0","    0","   15","    0","    0","    4","    0","   20","    0","  131","    0","    0","   80","    0","    0","    0","    1","    0","   24","    0","   63","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","   60","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   46","    0","    0","    0","    9","    1","   33","    0","    0","    0","    0","    0","    0","    8","    2","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    9","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11945",NA,NA,"  620","    0","    0","    0","    0","    0","    0","  124","    0","    0","    0","  239","    0","    6","    0","    0","    0","   43","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    7","    0","   36","    0","  117","    0","    0","  116","    0","    0","    0","    0","    0","   40","    0","  116","    0","    2","    0","    0","    0","    5","    1","    1","    0","    0","    0","    0","    0","  102","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   99","    0","    0","    0","   23","    3","   47","    0","    1","    0","    1","    0","    0","   14","    1","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","   23","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12397",NA,NA,"  640","    0","    0","    0","    0","    0","    0","   69","    0","    0","    0","  195","    0","    0","    1","    0","    0","   12","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","   11","    0","    0","    2","    0","    2","    0","   59","    0","    0","   80","    0","    0","    0","    0","    0","   14","    0","   26","    0","    1","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","  133","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","   16","    3","   19","    0","    0","    0","    0","    0","    2","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   50","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"12844",NA,NA,"  660","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","  170","    0","    4","    0","    0","    0","   33","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","   10","    0","    0","    7","    0","   12","    0","   60","    0","    0","   36","    0","    0","    6","    4","    0","   35","    0","   34","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","  178","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   67","    0","    1","    0","   37","    5","   24","    0","    1","    0","    0","    0","    0","   44","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  243","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    6","    2","    0","    0","    0","    0","    0","    0","    0"
"13291",NA,NA,"  680","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","   95","    0","    2","    0","    0","    0","    7","    0","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","   21","    0","    0","    5","    0","   37","    0","   18","    0","    0","   27","    0","    0","    0","    0","    0","    2","    0","   18","    0","    2","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    0","   47","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","  224","    0","    0","    0","   15","    5","   31","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"13740",NA,NA,"  700","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","   37","    0","    1","    0","    0","    0","    1","    0","   11","    0","    0","    1","    0","    0","    0","    0","    0","    0","   28","    0","    0","    2","    0","    8","    0","   20","    0","    0","   55","    0","    0","    1","    0","    0","    1","    0","   17","    0","    1","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","   35","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  135","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"14187",NA,NA,"  720","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","   36","    0","    0","    0","    0","    0","    6","    0","   10","    0","    1","    0","    0","    1","    0","    0","    0","    0","   39","    0","    1","    0","    0","    7","    0","   37","    0","    0","   30","    0","    0","    1","    0","    0","    0","    0","   16","    0","    4","    0","    0","    0","   16","    0","    3","    0","    0","    0","    0","    0","   33","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   66","    0","    0","    0","   14","    1","    3","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    9","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14635",NA,NA,"  740","    0","    0","    0","    0","    0","    2","    3","    0","    0","    0","   55","    0","    3","    0","    0","    0","   12","    0","    8","    0","    2","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    4","    0","   10","    0","   46","    0","    0","   56","    0","    0","    0","    1","    0","    3","    0","   25","    0","    2","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","   25","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    0","    0","    0","   16","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   34","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"15082",NA,NA,"  760","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","   66","    0","    2","    0","    0","    0","   13","    0","    8","    0","    1","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    3","    0","    5","    0","   68","    0","    0","   50","    0","    0","    0","    0","    0","    1","    0","   81","    0","    1","    0","    0","    0","   34","    0","    9","    0","    0","    0","    0","    0","   42","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   14","    0","    2","    0","   46","    4","   21","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","  241","    0","    0","    0","    2","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"15531",NA,NA,"  780","    0","    0","    0","    0","    0","    2","   13","    0","    0","    0","   65","    0","    3","    0","    0","    0","   19","    0","   23","    0","    4","    0","    0","    1","    0","    0","    1","    0","    5","    0","    0","    4","    0","    3","    0","   70","    0","    0","  174","    0","    0","    0","    0","    0","    8","    0","  178","    0","    2","    0","    0","    0","   40","    0","   21","    0","    0","    0","    0","    0","   25","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    0","    0","   80","    1","   27","    0","    1","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  469","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15983",NA,NA,"  800","    0","    0","    0","    0","    0","    2","    7","    0","    0","    0","  156","    0","   11","    0","    0","    0","   35","    0","   73","    0","    5","    0","    0","    0","    0","    0","    0","    1","   14","    0","    0","    2","    0","    8","    0","  103","    0","    0","   87","    0","    0","    1","    1","    0","    0","    0","   68","    0","    0","    0","    0","    0","   19","    0","    3","    1","    0","    1","    0","    0","    9","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","  472","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   25","    0","    1","    0","   37","    4","   13","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    5","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16433",NA,NA,"  820","    0","    0","    0","    0","    0","    2","   44","    0","    0","    0","  156","    0","   11","    0","    0","    0","   82","    0","   61","    0","    5","    0","    0","    2","    1","    0","    0","    0","   19","    0","    0","   12","    0","   14","    0","  143","    0","    0","  201","    0","    0","    0","    0","    0","    3","    0","  111","    0","    2","    0","    0","    0","   21","    0","    6","    3","    0","    0","    0","    0","   24","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  188","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   32","    0","    1","    0","   33","    1","   14","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   24","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"16885",NA,NA,"  840","    0","    0","    0","    0","    0","    5","   26","    0","    0","    0","  111","    0","   11","    0","    0","    0","   40","    0","   48","    0","    3","    0","    0","    1","    0","    0","    0","    0","   11","    0","    0","   15","    0","    2","    0","   97","    0","    0","  303","    0","    0","    0","    1","    0","    3","    0","  189","    0","    0","    0","    0","    0","   23","    0","    8","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   26","    0","    0","    0","   41","    1","   13","    0","    0","    0","    0","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   67","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"17339",NA,NA,"  860","    0","    0","    0","    0","    0","    3","   25","    0","    0","    0","  211","    0","   10","    0","    0","    0","   64","    0","  127","    0","    3","    0","    0","    3","    0","    0","    1","    0","    9","    1","    0","    3","    0","   18","    0","  210","    0","    0","  125","    0","    0","    0","    2","    0","    1","    0","  155","    0","    2","    2","    0","    0","   29","    1","    7","    0","    0","    0","    0","    0","   16","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  220","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    3","    0","   39","    0","    0","    0","   31","    1","   53","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"17785",NA,NA,"  880","    1","    0","    0","    0","    0","    2","    9","    0","    0","    0","  167","    0","    9","    0","    0","    0","   19","    0","   71","    0","    4","    2","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","   11","    0","  195","    0","    0","   70","    0","    0","    0","    0","    0","    0","    0","   62","    0","    0","    0","    0","    0","    6","    1","    3","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  113","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   37","    0","    1","    0","   12","    0","   30","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18011",NA,NA,"  890","    0","    0","    0","    0","    0","    1","   14","    0","    0","    0","  155","    0","    6","    0","    0","    0","   14","    0","   57","    0","    2","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    5","    0","   10","    0","  125","    0","    0","   56","    0","    0","    0","    0","    0","    0","    0","  200","    0","    0","    0","    0","    0","    5","    0","    4","    0","    0","    0","    0","    0","   10","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","   75","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   39","    0","    0","    0","   11","    0","   23","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18231",NA,NA,"  900","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","   97","    0","    0","    0","    0","    0","   22","    0","   25","    0","    1","    2","    0","    0","    0","    0","    1","    0","    2","    0","    0","    3","    0","    7","    0","   91","    0","    0","   23","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","    0","    2","    1","    2","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   36","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   17","    0","    0","    0","    5","    2","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18633",NA,NA,"  920","    0","    0","    0","    0","    0","    2","    4","    0","    0","    0","   73","    0","    0","    0","    0","    0","   19","    0","   33","    0","    6","    1","    0","    0","    1","    0","    0","    0","   20","    0","    0","    4","    0","   24","    0","   87","    0","    0","   32","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","   12","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","   81","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    2","    0","   20","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   11","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"20255",NA,NA," 1000","    1","    0","    0","    0","    0","    1","    5","    0","    0","    0","   72","    0","    1","    0","    0","    0","   17","    0","   18","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    2","    0","    2","    0","   54","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    1","    0","    0","    1","    0","    5","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    7","    1","    9","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
